"The phone number cannot be empty.","Номер телефона не может быть пустым."
"Your request has been sent successfully", "Ваш запрос был успешно отправлен"
"Sorry, something went wrong","Произошла не предвиденная ошибка"
"Call Me","Обратный звонок"
"Phone Number","Номер телефона"
"Comment","Примечания и комментарии"
"Calls","Звонки"
"Calls Manager","Управление звонками"
"Item does not exist","Элемент не найден"
"Call View","Звонок"
"Call Date","Дата"
"Added From","Добавлен из"
"email notification was sent","уведомление по email отправлено"
"email notification is not sent","уведомление по email не было отправлено"
"Status name cannot be empty.","Название статуса не может быть пустым"
"Call Statuses","Статусы звонков"
"Add Call Status","Добавить статус"
"Comments History","История комментариев"
"Add Call Comments","Добавить комментарий"
"Notify Admin by Email","Отправить Email администратору"
"Notified","Уведомлен"
"Not Notified","Не уведомлен"
"Status Information","Статус"
"New Status","Новый статус"
"Call Status","Статус звонка"
"Placed from IP","Размещен с IP адреса"
"Call #%s","Звонок #%s"
"Call #%s | %s","Звонок #%s | %s"
"Status","Статус"
"Name","Название"
"Code","Код"
"ID","ИД"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Settings","Настройки"
"Status After Post","Статус после отправки"
"Email Settings","Настройки Email"
"Admin Notification Email","Email для уведомлений администратора"
"Admin Notification Template","Шаблон для уведомлений администратора"
"New Comment Notification Template","Шаблон для уведомлений о комментарии"
"Email Sender","Отправитель Email"
"General","Общие"
"Created On","Создано"
"New Call Admin Notification","Новый звонок: уведомление администратора"
"New Call Comment Admin Notification","Новый комментарий к звонку: уведомление администратора"
"Status is the default status. Delete is not possible","Установлен статус по умолчанию. Удаление невозможно"
"There are calls to that status. Delete is not possible","Существуют звонки с этим статусом. Удаление невозможно"
"Submit Comment","Отправить комментарий"
"Phone","Телефон"
"Information","Информация"