"New Special Products Set","Новый набор товаров"
"Special Products Set Information","Данные набора товаров"
"Sets","Наборы"
"Special Products Sets Management","Управление наборами товаров"
"Add New Special Products Set","Добавить новый набор товаров"
"Select Products Automatically","Выбрать товары автоматически"
"Please save mode to manually select products","Пожалуйста, сохраните выбранный режим перед ручным добавлением товаров"
"Apply Label","Применить метку товара"
"Auto Type","Тип"
"Filter By Category","Фильтрация по категории"
"Output Type","Тип вывода"
"Use Separate Page","Включить отдельную страницу"
"-- Please Select a Position --","-- Пожалуйста, выберите позицию --"
"-- Please Select a Output Type --","-- Пожалуйста, выберите тип вывода --"